title,source,published
Exclusive | Papa John’s Draws Fresh Takeover Interest From Qatari-Backed Fund - WSJ,The Wall Street Journal,2026-03-12T06:32:00Z
"Asian Stocks to Fall, Oil Climbs with War in Focus: Markets Wrap - Bloomberg",Bloomberg,2026-03-12T06:08:00Z
"Gas Prices Are Up, And So Are Searches For EVs: Edmunds - InsideEVs",InsideEVs ,2026-03-12T05:02:35Z
Grazie mille! Italy helps USA advance to the World Baseball Classic quarterfinals - CNN,CNN,2026-03-12T04:47:00Z
The 5 most shocking allegations we learned about 'America's Next Top Model' in new docuseries - Yahoo,Yahoo Entertainment,2026-03-12T03:55:00Z
"Iranian school was on U.S. target list, may have been mistaken as military site - The Washington Post",The Washington Post,2026-03-12T03:50:14Z
Thai Cargo Ship Hit in Strait of Hormuz; Three Crew Missing - Bloomberg.com,Bloomberg,2026-03-12T03:50:00Z
White House takes first step toward permanent fix for illegal tariffs - The Washington Post,The Washington Post,2026-03-12T03:37:00Z
Maxx Crosby: “I’m a Raider. I’m back.” - NBC Sports,NBCSports.com,2026-03-12T03:35:58Z
How well does the new MacBook Neo handle gaming? Andrew Tsai tested 10 games to find out - 9to5Mac,9to5Mac,2026-03-12T03:34:12Z
"Kyler Murray weighing Vikings starting job, backup options elsewhere after Cardinals release - Arizona Sports",Arizona Sports,2026-03-12T00:35:00Z
"NYPD hero cop who chased down Gracie Mansion bomb suspect had just one thought: ""Catch the bad guy"" - CBS News",CBS News,2026-03-12T00:15:00Z
Trump’s energy ‘tiger team’ struggles to find its roar with Iran - Politico,Politico,2026-03-12T00:09:57Z
Trump administration releasing 172 million barrels of oil from strategic reserve as Iran war causes soaring prices - CBS News,CBS News,2026-03-12T00:00:00Z
Epstein’s longtime accountant testifies he was ‘not aware’ of sex offender’s crimes - NPR,NPR,2026-03-11T23:51:46Z
Lawmakers vent frustration over DHS shutdown as lines grow at nation’s airports - AP News,Associated Press,2026-03-11T23:29:00Z
Lense–Thirring precessing magnetar engine drives a superluminous supernova - Nature,Nature.com,2026-03-11T23:03:25Z
