title,summary
Exclusive | Papa John’s Draws Fresh Takeover Interest From Qatari-Backed Fund - WSJ,
"Asian Stocks to Fall, Oil Climbs with War in Focus: Markets Wrap - Bloomberg",Global stocks declined while oil rallied after an attack on tankers in Iraqi waters highlighted the threat to energy infrastructure in the Middle East and stoked concerns of an escalating conflict.
"Gas Prices Are Up, And So Are Searches For EVs: Edmunds - InsideEVs",The Iran conflict is driving up gas prices. Edmunds says that shoppers are looking to electrified models for relief.
Grazie mille! Italy helps USA advance to the World Baseball Classic quarterfinals - CNN,"A day later than its manager originally proclaimed, the United States punched its ticket to the quarterfinals of the World Baseball Classic."
The 5 most shocking allegations we learned about 'America's Next Top Model' in new docuseries - Yahoo,The series “Dirty Rotten Scandals” also dives into “The Dr. Phil Show” and “The Price Is Right.”
"Iranian school was on U.S. target list, may have been mistaken as military site - The Washington Post","The strike on an Iranian elementary school killed at least 175, many of them children, raising questions as to whether the military’s use of AI-enabled targeting was a factor."
Thai Cargo Ship Hit in Strait of Hormuz; Three Crew Missing - Bloomberg.com,"A Thai-flagged cargo vessel was struck in the Strait of Hormuz on Wednesday shortly after departing from the United Arab Emirates, as regional tensions continue to disrupt one of the world’s most critical shipping lanes. Three people are missing."
White House takes first step toward permanent fix for illegal tariffs - The Washington Post,"President Donald Trump is moving to replace the global tariffs that the Supreme Court recently struck down, targeting more than a dozen major trading partners."
Maxx Crosby: “I’m a Raider. I’m back.” - NBC Sports,Crosby tweets for first time since failed trade.
How well does the new MacBook Neo handle gaming? Andrew Tsai tested 10 games to find out - 9to5Mac,"From AAA games to Windows to Switch emulated games, Andrew Tsai set out to find whether the MacBook Neo can actually run games well."
"Kyler Murray weighing Vikings starting job, backup options elsewhere after Cardinals release - Arizona Sports","While Kyler Murray is expected to visit the Minnesota Vikings, the reported favorites for his services, the QB's camp is also weighing backup options."
"NYPD hero cop who chased down Gracie Mansion bomb suspect had just one thought: ""Catch the bad guy"" - CBS News",NYPD Chief Aaron Edwards hopped a metal barrier to chase down a suspect accused of throwing IEDs during clashing protests outside Gracie Mansion.
Trump’s energy ‘tiger team’ struggles to find its roar with Iran - Politico,"Trump's vaunted “energy dominance” team is in danger of fumbling the biggest energy crisis of his second term, critics say."
Trump administration releasing 172 million barrels of oil from strategic reserve as Iran war causes soaring prices - CBS News,"President Trump ordered the release of 172 million barrels of oil from the U.S.'s Strategic Petroleum Reserve on Wednesday, after oil prices rocketed to their highest levels in years amid the U.S.'s war with Iran."
Epstein’s longtime accountant testifies he was ‘not aware’ of sex offender’s crimes - NPR,Richard Kahn testified to the House Oversight Committee that he did not know about Epstein's crimes. He said monetary gifts that Epstein made did not raise any red flags.
Lawmakers vent frustration over DHS shutdown as lines grow at nation’s airports - AP News,"Senators are venting their frustrations about the shutdown of the Department of Homeland Security as travelers endure long lines at airports. Senate Majority Leader John Thune is calling on Democrats to engage in negotiations, while Democrats are insisting th…"
Lense–Thirring precessing magnetar engine drives a superluminous supernova - Nature,"Observations of a nearby type I superluminous supernova showing oscillating light-curve bumps provide evidence of a centrally located magnetar in the wake of the explosion, surrounded by an infalling accretion disk undergoing Lense–Thirring precession."
